Node, InDeg, OutDeg, InCloseCent, InBetwnCent, OutCloseCent, OutBetwenCent
167, 16, 10, 0.0020108779473442806, 0.4224876680530032, 0.0020108779473442815, 0.0020108779473442815
168, 20, 24, 0.00106525901116398, 0.46943074228111464, 0.0010652590111639797, 0.0010652590111639797
169, 25, 43, 0.0032917164356858304, 0.48032240683520083, 0.0032917164356858286, 0.0032917164356858286
170, 47, 62, 0.01095514540169911, 0.5335540137782772, 0.010955145401699114, 0.010955145401699114
171, 12, 25, 0.0009627630561336633, 0.39888045731401073, 0.0009627630561336636, 0.0009627630561336636
172, 13, 22, 0.0010536310131345626, 0.381250381852618, 0.0010536310131345618, 0.0010536310131345618
173, 19, 28, 0.0028149485492702823, 0.4059195242077874, 0.0028149485492702806, 0.0028149485492702806
174, 19, 29, 0.003500068535778331, 0.43953069500206277, 0.0035000685357783326, 0.0035000685357783326
175, 40, 46, 0.005619497741119962, 0.5188445046264952, 0.005619497741119963, 0.005619497741119963
176, 26, 46, 0.0017304516025153124, 0.473727591180713, 0.0017304516025153116, 0.0017304516025153116
177, 22, 27, 0.001036563270064464, 0.45800654280082204, 0.0010365632700644646, 0.0010365632700644646
178, 15, 28, 0.0006575846488574194, 0.43674885516027756, 0.0006575846488574195, 0.0006575846488574195
179, 34, 48, 0.002375570216115645, 0.4894065185483961, 0.0023755702161156454, 0.0023755702161156454
180, 25, 31, 0.0017529973884226697, 0.473727591180713, 0.0017529973884226695, 0.0017529973884226695
181, 38, 34, 0.002107518240003743, 0.495260663507109, 0.0021075182400037444, 0.0021075182400037444
182, 27, 105, 0.01649050669081903, 0.4976417243893547, 0.016490506690819057, 0.016490506690819057
183, 29, 70, 0.007861269946814414, 0.48032240683520083, 0.007861269946814407, 0.007861269946814407
184, 41, 50, 0.007531540164170311, 0.5024731974416785, 0.007531540164170319, 0.007531540164170319
185, 27, 18, 0.0015744181904960898, 0.4929022793951704, 0.00157441819049609, 0.00157441819049609
186, 15, 16, 0.003188033824821212, 0.45299553029753076, 0.0031880338248212133, 0.0031880338248212133
187, 17, 37, 0.00391462701223716, 0.3920813586097946, 0.003914627012237161, 0.003914627012237161
188, 52, 50, 0.005992704281272415, 0.5188445046264952, 0.005992704281272417, 0.005992704281272417
189, 33, 39, 0.0024020115653349684, 0.4929022793951704, 0.0024020115653349684, 0.0024020115653349684
190, 43, 31, 0.014562849708304106, 0.5227751448130595, 0.014562849708304102, 0.014562849708304102
191, 9, 39, 0.0013196777805370478, 0.4059195242077874, 0.0013196777805370467, 0.0013196777805370467
192, 44, 44, 0.0033106878776731903, 0.5136946832406243, 0.003310687877673188, 0.003310687877673188
193, 45, 65, 0.013992336918401606, 0.530817839348645, 0.013992336918401602, 0.013992336918401602
194, 19, 3, 0.00045960725394455295, 0.4559888928325365, 0.00045960725394455295, 0.00045960725394455295
195, 44, 24, 0.004226185731190374, 0.5267657947734646, 0.004226185731190372, 0.004226185731190372
196, 11, 10, 0.00041185442240880977, 0.37985129788251665, 0.00041185442240880966, 0.00041185442240880966
197, 19, 9, 0.0003988071763075671, 0.4224876680530032, 0.00039880717630756706, 0.00039880717630756706
198, 31, 9, 0.0009587570412326387, 0.48482191415918396, 0.0009587570412326388, 0.0009587570412326388
199, 31, 36, 0.0023340388753067005, 0.4715693789202086, 0.0023340388753066996, 0.0023340388753066996
200, 35, 60, 0.004238560636350084, 0.48143943568830594, 0.004238560636350085, 0.004238560636350085
201, 23, 53, 0.002577390064980149, 0.4414050263240332, 0.0025773900649801508, 0.0025773900649801508
202, 38, 38, 0.0028150514634179913, 0.4859599937698863, 0.002815051463417989, 0.002815051463417989
203, 20, 16, 0.0004549729173816613, 0.44424668958363, 0.00045497291738166135, 0.00045497291738166135
204, 23, 18, 0.0015959290820913802, 0.45200645708727416, 0.0015959290820913802, 0.0015959290820913802
205, 66, 74, 0.020063798442229348, 0.5656255665190479, 0.020063798442229355, 0.020063798442229355
206, 26, 7, 0.0004760173858711172, 0.48482191415918396, 0.0004760173858711174, 0.0004760173858711174
207, 39, 33, 0.00307637482233326, 0.5049242862096868, 0.0030763748223332607, 0.0030763748223332607
208, 32, 20, 0.0015856105557959241, 0.48143943568830594, 0.0015856105557959246, 0.0015856105557959246
209, 22, 20, 0.0012506803610979349, 0.46943074228111464, 0.0012506803610979349, 0.0012506803610979349
210, 67, 26, 0.006654101219548798, 0.5782652439831608, 0.006654101219548796, 0.006654101219548796
211, 15, 15, 0.0012627564757466787, 0.4051251611467154, 0.0012627564757466785, 0.0012627564757466785
