Node, InDeg, OutDeg, CloseCent, BetwnCent
100, 17, 36, 0.45352229478578937, 0.00044351899117124377
101, 42, 38, 0.5262570024401141, 0.006526537605729085
102, 14, 19, 0.44745916250255685, 4.849823959707588e-05
103, 35, 45, 0.5102125816340131, 0.002811347790701194
104, 37, 45, 0.49658672633814926, 0.0033967575170405365
105, 0, 16, 0.0, 0.0
106, 56, 46, 0.5329609132992238, 0.005636870778110781
107, 29, 28, 0.4951175348401073, 0.001281450006398246
108, 67, 68, 0.5770680233653664, 0.013694762236382984
109, 40, 16, 0.5149222362337116, 0.0008457560046958439
110, 20, 36, 0.4648603521554341, 0.0008550605497305833
111, 35, 37, 0.4951175348401073, 0.0018211340691763063
112, 73, 52, 0.5976775956284153, 0.01196650069147296
113, 63, 45, 0.5731155026573844, 0.007492148358586082
114, 32, 40, 0.5071203841695644, 0.006998193327866586
115, 114, 92, 0.7061169906158492, 0.06173815605349543
116, 40, 56, 0.5279171191670545, 0.0042491872473436835
117, 74, 51, 0.5976775956284153, 0.011379935564902986
118, 0, 4, 0.0, 0.0
119, 4, 16, 0.39283973421585977, 3.0342098750948416e-05
120, 15, 3, 0.43020495315155854, 3.0150660173923772e-05
121, 33, 30, 0.4864817638835938, 0.0008079882282013463
122, 84, 82, 0.6267780029062033, 0.029909385089162816
123, 18, 37, 0.45475469232596816, 0.000491565232198626
124, 17, 36, 0.45352229478578937, 0.00044351899117124377
125, 5, 7, 0.4061886572231948, 4.363384270501328e-06
126, 5, 7, 0.4061886572231948, 4.363384270501328e-06
127, 12, 10, 0.4142319969701888, 0.00031373230317266243
128, 3, 8, 0.38918541110687505, 1.821346445261585e-06
129, 16, 19, 0.45475469232596816, 0.0005209309735590072
130, 11, 30, 0.4162928526765082, 0.0002314504547767675
131, 0, 7, 0.0, 0.0
132, 0, 7, 0.0, 0.0
133, 11, 16, 0.4415560073244229, 9.32007298810229e-06
134, 1, 6, 0.351575056252009, 0.0
135, 15, 32, 0.48089001947113874, 0.006328481452175174
136, 32, 40, 0.5071203841695644, 0.006998193327866586
137, 5, 2, 0.369425445421537, 0.0
138, 0, 2, 0.0, 0.0
139, 19, 13, 0.4893266864794043, 0.00012851428189008103
140, 31, 27, 0.5133427201716451, 0.0013109261614396555
141, 2, 3, 0.38382964856870705, 3.5323082574770136e-06
142, 2, 3, 0.38382964856870705, 3.5323082574770136e-06
143, 52, 40, 0.5468945319475695, 0.004586822923159272
144, 86, 88, 0.6291343111878056, 0.051369044876798345
145, 38, 43, 0.5279171191670545, 0.02539896586530772
146, 1, 1, 0.34083447408545064, 0.0
147, 1, 1, 0.34083447408545064, 0.0
148, 1, 15, 0.331385597576151, 2.318567892338384e-05
149, 48, 41, 0.5363773294101163, 0.01030039048319958
150, 1, 0, 0.338535519125683, 0.0
151, 30, 37, 0.5040654420962538, 0.010120612470377842
152, 5, 10, 0.4486587849221348, 2.9219363953136264e-05
153, 77, 70, 0.6041506381803475, 0.023161273079281005
154, 44, 17, 0.5279171191670545, 0.001275138759223024
155, 31, 17, 0.5025517320599288, 0.0007206211901109613
156, 14, 3, 0.4247454994313611, 5.607751907993969e-06
157, 72, 69, 0.5892596013237896, 0.019026110046204317
158, 1, 4, 0.3218263976460698, 3.6458467371816317e-06
159, 93, 84, 0.6461379412199084, 0.03940561562267912
160, 37, 42, 0.5071203841695644, 0.002424932993489151
161, 48, 55, 0.5433432687531048, 0.006950297286681575
162, 51, 55, 0.5541381681323055, 0.019631566773397835
163, 26, 31, 0.4864817638835938, 0.0018605966584956367
164, 48, 47, 0.5040654420962538, 0.004323922102879686
165, 38, 30, 0.5229678961748634, 0.0024488094544471866
166, 55, 51, 0.557832422586521, 0.007374894628174787
167, 30, 17, 0.4980646630236794, 0.0009413177118565173
168, 70, 75, 0.5851389048110359, 0.034148826988380454
169, 11, 17, 0.42582627678360374, 2.8938022765578684e-05
170, 24, 30, 0.47008350217965245, 0.0005352888289515085
171, 20, 29, 0.4635726503489093, 0.006338530546568789
172, 1, 10, 0.3638037538607745, 0.0
173, 13, 23, 0.42691256830601093, 0.00010193453451831405
174, 1, 4, 0.31280322761860985, 0.0
175, 37, 53, 0.5025517320599288, 0.0038483931699895553
176, 20, 27, 0.45975199663724253, 0.0006345432744595261
177, 6, 19, 0.39845173041894355, 2.4792412800890888e-05
178, 48, 45, 0.5040654420962538, 0.004307319275597018
179, 22, 7, 0.48507167181436606, 0.005261947240801506
180, 1, 13, 0.351575056252009, 0.0
181, 2, 0, 0.37782982045277125, 0.0
182, 2, 0, 0.3720170539842671, 0.0
183, 57, 0, 0.5623513606738921, 0.0
