Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
636, 626, 11, 62, 18
636, 632, 5, 62, 64
637, 634, 4, 15, 22
637, 624, 14, 15, 30
637, 620, 18, 62, 64
637, 636, 2, 62, 72
645, 642, 4, 29, 2
645, 641, 5, 29, 5
646, 644, 3, 73, 75
646, 638, 9, 73, 83
648, 646, 3, 25, 16
648, 648, 1, 25, 25
649, 637, 13, 15, 19
649, 647, 3, 15, 23
649, 639, 11, 29, 59
649, 643, 7, 29, 74
656, 651, 6, 29, 19
656, 654, 3, 29, 59
656, 650, 7, 30, 60
656, 656, 1, 30, 30
657, 635, 23, 81, 65
657, 657, 1, 81, 81
658, 653, 6, 39, 25
658, 640, 19, 39, 34
660, 645, 16, 60, 0
660, 649, 12, 60, 78
662, 652, 11, 42, 14
662, 655, 8, 42, 47
662, 659, 4, 42, 86
667, 658, 10, 47, 29
667, 661, 7, 47, 54
668, 664, 5, 34, 8
668, 621, 48, 34, 11
669, 668, 2, 81, 7
669, 665, 5, 81, 26
671, 669, 3, 8, 42
671, 666, 6, 8, 66
672, 671, 2, 37, 4
672, 670, 3, 37, 10
672, 662, 11, 37, 87
679, 660, 20, 63, 57
679, 679, 1, 63, 63
683, 677, 7, 37, 47
683, 674, 10, 37, 68
683, 673, 11, 60, 18
683, 676, 8, 60, 56
683, 683, 1, 60, 60
685, 663, 23, 8, 17
685, 678, 8, 8, 74
685, 684, 2, 9, 68
685, 681, 5, 9, 76
689, 672, 18, 62, 15
689, 686, 4, 62, 18
692, 689, 4, 44, 12
692, 675, 18, 44, 71
694, 685, 10, 21, 54
694, 667, 28, 21, 79
696, 691, 6, 57, 39
696, 682, 15, 57, 59
699, 695, 5, 29, 15
699, 698, 2, 29, 66
701, 699, 3, 60, 0
701, 700, 2, 60, 86
703, 696, 8, 48, 25
703, 692, 12, 48, 82
706, 680, 27, 8, 49
706, 705, 2, 8, 64
707, 701, 7, 29, 11
707, 697, 11, 29, 30
707, 690, 18, 43, 3
707, 707, 1, 43, 43
708, 702, 7, 40, 65
708, 708, 1, 40, 40
709, 687, 23, 24, 29
709, 709, 1, 24, 24
713, 703, 11, 37, 31
713, 704, 10, 37, 78
714, 710, 5, 18, 21
714, 712, 3, 18, 62
715, 714, 2, 10, 19
715, 688, 28, 10, 32
715, 713, 3, 24, 61
715, 715, 1, 24, 24
720, 706, 15, 16, 5
720, 719, 2, 16, 65
722, 717, 6, 48, 8
722, 694, 29, 48, 55
725, 716, 10, 40, 44
725, 723, 3, 40, 48
729, 727, 3, 42, 1
729, 728, 2, 42, 83
732, 693, 40, 10, 24
732, 722, 11, 10, 50
732, 729, 4, 29, 14
732, 726, 7, 29, 44
735, 718, 18, 8, 20
735, 733, 3, 8, 73
735, 731, 5, 37, 2
735, 734, 2, 37, 54
737, 721, 17, 42, 1
737, 736, 2, 42, 35
737, 720, 18, 42, 36
737, 711, 27, 77, 57
737, 730, 8, 77, 80
740, 739, 2, 44, 13
740, 737, 4, 44, 43
743, 740, 4, 37, 2
743, 735, 9, 37, 49
744, 725, 20, 10, 2
744, 732, 13, 10, 86
747, 745, 3, 38, 61
747, 747, 1, 38, 38
749, 724, 26, 9, 37
749, 749, 1, 9, 9
752, 742, 11, 7, 1
752, 748, 5, 7, 60
752, 744, 9, 44, 76
752, 752, 1, 44, 44
753, 738, 16, 44, 61
753, 750, 4, 44, 85
757, 754, 4, 61, 46
757, 755, 3, 61, 68
758, 746, 13, 47, 26
758, 751, 8, 47, 42
758, 757, 2, 59, 51
758, 741, 18, 59, 72
762, 759, 4, 6, 42
762, 762, 1, 6, 6
764, 756, 9, 37, 22
764, 764, 1, 37, 37
768, 765, 4, 29, 40
768, 767, 2, 29, 89
768, 761, 8, 37, 29
768, 763, 6, 37, 59
772, 758, 15, 60, 37
772, 760, 13, 60, 49
773, 743, 31, 47, 74
773, 773, 1, 47, 47
774, 769, 6, 42, 37
774, 774, 1, 42, 42
781, 753, 29, 10, 45
781, 775, 7, 10, 73
782, 768, 15, 9, 12
782, 781, 2, 9, 71
783, 772, 12, 42, 20
783, 779, 5, 42, 37
784, 771, 14, 73, 44
784, 778, 7, 73, 78
785, 784, 2, 1, 42
785, 780, 6, 1, 61
786, 777, 10, 65, 5
786, 783, 4, 65, 27
789, 782, 8, 0, 26
789, 770, 20, 0, 63
790, 776, 15, 73, 29
790, 785, 6, 73, 42
793, 766, 28, 42, 15
793, 790, 4, 42, 74
794, 791, 4, 37, 10
794, 793, 2, 37, 68
796, 787, 10, 29, 42
796, 792, 5, 29, 81
800, 786, 15, 27, 29
800, 795, 6, 27, 65
801, 799, 3, 0, 13
801, 796, 6, 0, 34
802, 797, 6, 44, 5
802, 789, 14, 44, 83
807, 800, 8, 50, 21
807, 798, 10, 50, 79
809, 805, 5, 41, 3
809, 801, 9, 41, 53
809, 802, 8, 44, 49
809, 788, 22, 44, 76
810, 794, 17, 0, 11
810, 809, 2, 0, 17
811, 806, 6, 39, 18
811, 811, 1, 39, 39
814, 813, 2, 81, 22
814, 807, 8, 81, 31
815, 812, 4, 21, 54
815, 815, 1, 21, 21
815, 810, 6, 60, 23
815, 804, 12, 60, 73
819, 814, 6, 21, 5
819, 819, 1, 21, 21
821, 803, 19, 73, 32
821, 817, 5, 73, 67
822, 818, 5, 48, 35
822, 808, 15, 48, 54
824, 823, 2, 37, 36
824, 822, 3, 37, 45
826, 816, 11, 3, 30
826, 824, 3, 3, 48
832, 830, 3, 15, 22
832, 828, 5, 15, 88
835, 821, 15, 42, 18
835, 829, 7, 42, 78
836, 826, 11, 9, 39
836, 825, 12, 9, 63
838, 837, 2, 57, 62
838, 838, 1, 57, 57
842, 839, 4, 9, 33
842, 834, 9, 9, 42
843, 832, 12, 29, 30
843, 840, 4, 29, 40
846, 844, 3, 21, 48
846, 845, 2, 21, 56
846, 843, 4, 42, 20
